,template,clusterID
710,CC_OBSR_rpra_481,3
711,CC_OBSR_rpra_482,0
712,CC_OBSR_rpra_483,3
713,CC_OBSR_rpra_484,1
714,CC_OBSR_rpra_485,3
715,CC_OBSR_rpra_487,0
716,CC_OBSR_rpra_489,0
717,CC_OBSR_rpra_490,0
718,CC_OBSR_rpra_491,3
719,CC_OBSR_rpra_492,1
720,CC_OBSR_rpra_494,5
721,CC_OBSR_rpra_495,2
722,CC_OBSR_rpra_496,3
723,CC_OBSR_rpra_497,2
724,CC_OBSR_rpra_499,0
725,CC_OBSR_rpra_500,3
726,CC_OBSR_rpra_501,0
727,CC_OBSR_rpra_502,3
728,CC_OBSR_rpra_503,3
729,CC_OBSR_rpra_504,1
730,CC_OBSR_rpra_505,1
731,CC_OBSR_rpra_506,0
732,CC_OBSR_rpra_507,1
733,CC_OBSR_rpra_508,2
734,CC_OBSR_rpra_509,2
735,CC_OBSR_rpra_510,2
736,CC_OBSR_rpra_511,0
737,CC_OBSR_rpra_512,5
738,CC_OBSR_rpra_514,2
739,CC_OBSR_rpra_515,4
740,CC_OBSR_rpra_516,3
741,CC_OBSR_rpra_517,3
742,CC_OBSR_rpra_518,0
743,CC_OBSR_rpra_519,2
744,CC_OBSR_rpra_520,0
745,CC_OBSR_rpra_521,2
746,CC_OBSR_rpra_522,0
747,CC_OBSR_rpra_523,0
748,CC_OBSR_rpra_524,3
749,CC_OBSR_rpra_526,3
750,CC_OBSR_rpra_527,0
751,CC_OBSR_rpra_528,1
752,CC_OBSR_rpra_529,1
753,CC_OBSR_rpra_530,1
754,CC_OBSR_rpra_531,3
755,CC_OBSR_rpra_532,0
756,CC_OBSR_rpra_533,2
757,CC_OBSR_rpra_534,0
758,CC_OBSR_rpra_535,3
759,CC_OBSR_rpra_536,2
760,CC_OBSR_rpra_537,3
761,CC_OBSR_rpra_538,1
762,CC_OBSR_rpra_539,4
763,CC_OBSR_rpra_540,0
764,CC_OBSR_rpra_541,3
765,CC_OBSR_rpra_542,3
766,CC_OBSR_rpra_543,2
767,CC_OBSR_rpra_544,3
768,CC_OBSR_rpra_545,3
769,CC_OBSR_rpra_546,3
770,CC_OBSR_rpra_547,3
771,CC_OBSR_rpra_548,5
772,CC_OBSR_rpra_549,2
773,CC_OBSR_rpra_550,2
774,CC_OBSR_rpra_551,4
775,CC_OBSR_rpra_552,3
776,CC_OBSR_rpra_553,3
777,CC_OBSR_rpra_554,0
778,CC_OBSR_rpra_555,4
779,CC_OBSR_rpra_556,3
780,CC_OBSR_rpra_557,3
781,CC_OBSR_rpra_559,3
